,u
0,0.7055905159127935
1,-1.7518321608248837
2,0.7342394342113694
3,-2.9788671368107806
4,-0.24466612140814675
5,-1.8916542091406021
6,1.395067252070445
7,1.6938876898095092
8,-0.35357570675285405
9,1.620742075272213
10,1.2732738962622607
11,0.1986896186642161
12,-1.4037537311425816
13,-1.9673839047289772
14,-0.6222827273182003
15,0.9295331253015846
16,-0.2839532387679549
17,-0.023082046801571793
18,0.3916660238109175
19,-1.2840039456765497
20,-0.4058998363240351
21,-2.2093671835407616
22,0.6958846812601132
23,-0.4764983612573533
24,-1.3183923644119389
25,0.5858513420814432
26,0.28030724870487367
27,-0.44463851579579566
28,1.922704512984606
29,-0.35524302338220054
30,0.5879629381232935
31,0.6408597114180109
32,0.018057127880139433
33,-1.7208347947912683
34,-1.5209548287840806
35,-0.3196748639599511
36,0.21435338253296804
37,0.5167340041865669
38,-0.48579809586167766
39,-1.4887894597111384
40,0.4351716689776361
41,0.8267935273285978
42,1.6815302037644142
43,1.8827806197884969
44,-1.7365237417625021
45,-1.1557839029095793
46,-1.1835150993738115
47,-0.37723943090717516
48,-1.0925970215053213
49,-0.6436855917957565
50,-1.1130184132149408
51,-0.9794797593222875
52,-1.8338773275469633
53,-0.718331071936348
54,0.0256509076568248
55,-0.8565682866193959
56,-3.468408731649809
57,-0.7831298165864145
58,-0.6985857636216258
59,0.06142431750166999
60,0.19724462717707114
61,0.8542407259171505
62,-0.13808697525325356
63,-0.5388653187824017
64,-0.10421877586701368
65,0.15073600353412106
66,1.314280087935108
67,0.44454152285421994
68,-0.9967274299911217
69,-1.5464514134101197
70,2.096740902312497
71,-0.8395408449987672
72,-1.3280711844908313
73,0.9241077248453415
74,-1.523773388031711
75,0.09872674688878377
76,0.20459348229287883
77,-0.7743617998315149
78,-0.7731039573004836
79,-0.4007384002696501
80,-0.052011094350927274
81,-0.42232416191503247
82,1.2156713091854192
83,1.616517308967242
84,-0.08642406179818189
85,1.5063669741413361
86,-1.537885433667555
87,-1.4586197737721105
88,0.1634665360688515
89,0.4353767929819438
90,0.7219692437936039
91,-1.1703585792666518
92,-1.2114538793324492
93,0.19833913256593394
94,0.4165139709692311
95,-0.19631100179693306
96,-2.36316638635174
97,-0.07116673541581083
98,-1.9583965531564735
99,0.3634636803090246
100,1.1341943337848615
101,-1.7438625692700656
102,0.16138825937489054
103,-0.6847652136631077
104,-1.2648288583443479
105,-1.4453357574448513
106,0.03926639131281302
107,1.8023767686324226
108,-0.26025779560523155
109,0.9181317420403193
110,-0.02229892729569502
111,1.792413554541955
112,-0.2654640842191979
113,-0.5881600956220505
114,-0.10482444946882183
115,0.07904704616577272
116,-0.45795851025199835
117,-0.11370315582641996
118,-0.026613104706121028
119,1.6608505144367824
120,-0.2682620297841051
121,-1.4484606462077245
122,-0.7759077272626161
123,-0.8536257409371164
124,1.514452065216749
125,-0.10789923546425846
126,0.9610479359812703
127,1.2700027926309094
128,1.05221858920648
129,-1.9762090685648352
130,0.5410302743491666
131,0.47803967650970175
132,0.8879997058130773
133,-0.8495027114325888
134,-2.2437723847517868
135,1.9646741821224112
136,1.6097177752035416
137,0.8229594154428732
138,0.00315272643979241
139,-0.05466616759796377
140,1.6000602678087796
141,1.433661435112446
142,0.5743966225205162
143,0.06785216187062398
144,-0.689358011383774
145,0.7614833688878746
146,-0.17783790635482274
147,-1.0868493017494372
148,-0.9551308425487747
149,-0.1739809019658226
150,1.3377666081843043
151,-0.8114267924263877
152,-0.33618998706956854
153,-0.8715883034917687
154,1.0894129937171553
155,0.06268816941166068
156,0.33035391124938224
157,1.5634128373973413
158,1.7586300023824104
159,0.8521774599253195
160,1.9001966316924865
161,-1.517028767017091
162,0.6998574592251292
163,-1.417648534016274
164,0.1430103750341202
165,-0.32509045258906066
166,0.4181640337130844
167,0.4752451558789422
168,-0.25132024241271494
169,1.7416764750420632
170,1.088188488429441
171,-0.5653171922606655
172,-0.6251174058558632
173,-0.43768335016617327
174,-0.6920022473608963
175,-0.30683920109802215
176,0.32816701851138064
177,-0.542654508579475
178,-0.23026130746714737
179,-0.492039635764333
180,-0.46178832664141695
181,0.6188329730023537
182,-0.8107259548571243
183,-0.5888399713193443
184,0.16560926363380316
185,0.23922643927096351
186,0.2263572653192736
187,-0.04281963191787863
188,-0.655962958668421
189,0.5852326686902657
190,-1.2607652503457358
191,-0.5791736311640174
192,0.9002170107136279
193,0.8191541538681475
194,-0.1718139853556387
195,-0.45810426621906375
196,-1.7709770957051403
197,-1.0836581839126496
198,-0.4936392953939794
199,-0.2789269631476758
200,-0.411292115084025
201,-0.352357701758399
202,0.04854575151089134
203,0.07548998156786792
204,-0.4556466971269105
205,-1.97308019324048
206,-0.7273954107765124
207,-0.2471043732016613
208,-0.6647482544718065
209,-1.826955431801738
210,0.059817387108510006
211,0.15982684258175123
212,1.3567367887119008
213,0.9074948409901809
214,1.7233913875005575
215,0.19902548581529944
216,1.4435456169451846
217,-0.03838404732621282
218,-1.0561611900282069
219,-0.7337365941521662
220,-0.8778005437685062
221,1.4558486792692809
222,1.106074959240094
223,-0.22593088594329264
224,-0.8347691163748947
225,0.6375883909251459
226,-0.9534688138066731
227,-2.071416091065944
228,0.8332149621904813
229,0.5054937091695542
230,0.21621225976666308
231,-0.4147457548238154
232,-2.4290860045183233
233,0.7278637700928052
234,-0.24853310938164613
235,0.44226969934473565
236,0.3190588482806848
237,0.2607219922516858
238,-0.7084136250002447
239,-2.078948324181223
240,0.22320399607965463
241,1.4269382276227849
242,0.14939189780676443
243,-0.10822741446087865
244,-0.7395913167544753
245,0.02144585212630111
246,0.8040311146853076
247,-0.922986806701428
248,-0.7573460253153662
249,-0.7820814413730628
250,0.8180453807577884
251,1.3457397528627786
252,2.0725988092181584
253,0.8575631621795423
254,-1.670648475634509
255,0.30202300764711715
256,0.30152008525147894
257,-0.14522475847068214
258,-0.5206640114233461
259,0.7904132520459474
260,0.5575883269217237
261,-0.6230979598733618
262,1.1936469648171855
263,-0.8063596710386794
264,-0.12999082387466526
265,-1.1452862082121797
266,0.254347745277121
267,0.9748697924786869
268,-0.3127837789954809
269,-0.049227366436354204
270,0.3325366098527243
